"IDPubRecord","IDPublication","PageNumber","IDMonument","Active"
"128","{0000000F-0000-0000-0000-000000000000}","34","675","true"
"129","{68B7E490-B947-4088-AD82-B39E192C83F3}","193-203","678","true"
"130","{00000032-0000-0000-0000-000000000000}","105","678","true"
"131","{00000023-0000-0000-0000-000000000000}","93","678","true"
"132","{0000001E-0000-0000-0000-000000000000}","113","679","true"
"133","{00000011-0000-0000-0000-000000000000}","166","680","true"
"134","{00000015-0000-0000-0000-000000000000}","5","680","true"
"135","{0000001B-0000-0000-0000-000000000000}","17-19","680","true"
"136","{0000000D-0000-0000-0000-000000000000}","247","683","true"
"137","{00000021-0000-0000-0000-000000000000}","64","683","true"
"138","{00000004-0000-0000-0000-000000000000}","58","683","true"
"139","{00000006-0000-0000-0000-000000000000}","46","683","true"
"140","{00000028-0000-0000-0000-000000000000}","25","684","true"
"141","{00000021-0000-0000-0000-000000000000}","56","685","true"
"142","{00000004-0000-0000-0000-000000000000}","58","685","true"
"143","{00000006-0000-0000-0000-000000000000}","46","685","true"
"144","{0000000F-0000-0000-0000-000000000000}","35","685","true"
"145","{0000000D-0000-0000-0000-000000000000}","246","685","true"
"146","{00000025-0000-0000-0000-000000000000}","107-108","685","true"
"147","{0000000F-0000-0000-0000-000000000000}","35","686","true"
"148","{00000004-0000-0000-0000-000000000000}","58","686","true"
"149","{00000006-0000-0000-0000-000000000000}","46","686","true"
"150","{0000000D-0000-0000-0000-000000000000}","246","686","true"
"151","{00000021-0000-0000-0000-000000000000}","56","686","true"
"152","{00000004-0000-0000-0000-000000000000}","58","687","true"
"153","{00000006-0000-0000-0000-000000000000}","46","687","true"
"154","{0000000F-0000-0000-0000-000000000000}","35","687","true"
"155","{0000000D-0000-0000-0000-000000000000}","246","687","true"
"156","{00000021-0000-0000-0000-000000000000}","56","687","true"
"157","{00000004-0000-0000-0000-000000000000}","58","688","true"
"158","{00000006-0000-0000-0000-000000000000}","46","688","true"
"159","{0000000D-0000-0000-0000-000000000000}","246","688","true"
"160","{0000000F-0000-0000-0000-000000000000}","35","688","true"
"161","{00000021-0000-0000-0000-000000000000}","56","688","true"
"162","{00000004-0000-0000-0000-000000000000}","58","689","true"
"163","{00000006-0000-0000-0000-000000000000}","46","689","true"
"164","{0000000D-0000-0000-0000-000000000000}","246","689","true"
"165","{0000000F-0000-0000-0000-000000000000}","35","689","true"
"166","{00000021-0000-0000-0000-000000000000}","30","689","true"
"168","{00000004-0000-0000-0000-000000000000}","58","690","true"
"169","{00000006-0000-0000-0000-000000000000}","46","690","true"
"170","{0000000D-0000-0000-0000-000000000000}","246","690","true"
"171","{0000000F-0000-0000-0000-000000000000}","35","690","true"
"172","{00000021-0000-0000-0000-000000000000}","30","690","true"
"173","{0000000F-0000-0000-0000-000000000000}","33","692","true"
"174","{00000021-0000-0000-0000-000000000000}","93","692","true"
